Bengali,Chakma,Tense
চেের দফা গুলো শেষ হ না,"𑄌𑄬𑄢𑄴 𑄘𑄧𑄜 𑄘𑄝𑄨 𑄚𑄧 𑄜𑄬𑄣𑄧𑄋𑄴 𑄃𑄬𑄡𑄧,",Present
"জাতিটা হলো কা কা, ভেদ করা","𑄎𑄖𑄴𑄖𑄱 𑄦𑄧𑄣𑄧 𑄇𑄧𑄖𑄴𑄖 𑄇𑄧𑄖𑄴𑄖, 𑄞𑄬𑄘 𑄞𑄬𑄘",Present
আমার মন ভালো করার কি আছে?,𑄌𑄨𑄖𑄴 𑄎𑄪𑄢𑄬𑄝𑄢𑄴 𑄟𑄧𑄚𑄴 𑄉𑄧𑄣𑄬𑄝𑄢𑄴 𑄇𑄨 𑄃𑄊𑄬 𑄃𑄟𑄢𑄴?,Present
উে উে যত বই রাখার আছে তো,𑄃𑄪𑄎𑄬 𑄡𑄧 𑄃𑄪𑄎𑄬 𑄡𑄧 𑄝𑄮𑄃𑄨 𑄗𑄬𑄝𑄢𑄴 𑄚𑄬𑄃𑄨 𑄘𑄧 𑄃𑄧𑄇𑄴𑄖𑄧।,Present
"ভুই সাপগুলো শেষ হে গেল, ব পাখানা যে পেল","𑄞𑄪𑄃𑄨 𑄥𑄉𑄨𑄚𑄴 𑄙𑄪𑄝𑄨 𑄡𑄬𑄣𑄧, 𑄝𑄧𑄢𑄴 𑄛𑄧𑄢𑄧𑄋𑄴 𑄡𑄬𑄃𑄨 𑄛𑄬𑄣𑄧𑄋𑄴",Past
ভাত একটার সুতা দিে রে গেল,"𑄞𑄌𑄴 𑄃𑄮𑄇𑄴𑄮𑄢𑄴 𑄥𑄦𑄨𑄖𑄳𑄠𑄧 𑄢𑄨𑄘𑄨 𑄥𑄪𑄘𑄮𑄟𑄴 𑄦𑄏𑄨 𑄡𑄬𑄣𑄧,",Past
মনের মতো হবে কেমনে?,𑄟𑄧𑄚𑄴 𑄝𑄮𑄏𑄬𑄝𑄧𑄋𑄴 𑄇𑄨𑄋𑄨𑄢𑄨?,Present
"ছোট ছাটা লুকিে গেল, পাহাের পাহাের নাা হলো","𑄌𑄨𑄉𑄮𑄚𑄴 𑄍𑄧𑄢𑄳𑄦 𑄟𑄪𑄢𑄨 𑄡𑄬𑄣𑄧, 𑄟𑄮𑄚𑄴 𑄟𑄪𑄢𑄳𑄦𑄧 𑄚𑄙 𑄦𑄧𑄣𑄧",Past
বেইন-বেইন খেলার গ্রাম,𑄝𑄬𑄋𑄴𑄉𑄧𑄟-𑄝𑄬𑄋𑄴𑄉𑄧𑄟𑄨 𑄥𑄢𑄨𑄣𑄇𑄴 𑄃𑄘𑄟𑄴,Present
.ভ করল সুকুন পালে কি হবে?,𑄞𑄧𑄢𑄨𑄣𑄧 𑄥𑄪𑄇𑄪𑄚𑄧 𑄛𑄣𑄬 𑄝𑄎𑄨𑄝𑄧𑄋𑄴 𑄇𑄨𑄋𑄨𑄢𑄨?,Present
এই পাহাের পাহাগুলো ডাকতেছে,𑄃𑄧𑄃𑄨 𑄟𑄮𑄧𑄚𑄴 𑄟𑄪𑄢𑄳𑄦𑄧𑄃𑄪𑄚𑄴 𑄘𑄉𑄧𑄘𑄧𑄚𑄴,Present
ওই জঙ্গলটা পরিষ্কার করে দাও,𑄃𑄧𑄃𑄨 𑄏𑄢𑄚𑄨 𑄘𑄉𑄬𑄢𑄴,Present
এত ব ব ব অসুখ,𑄃𑄬𑄡𑄧 𑄃𑄬𑄡𑄧 𑄃𑄨𑄢𑄪𑄇𑄴 𑄡𑄪𑄉𑄧𑄢𑄴 𑄚𑄪𑄠𑄮 𑄛𑄨𑄢𑄳𑄦𑄨,Present
"কাকা, বো, তোমাদের মিল আছে",𑄇𑄇𑄳𑄠𑄬 (𑄞𑄬𑄣) 𑄖𑄧𑄟𑄢𑄴 𑄎𑄪𑄉𑄧𑄣𑄴 𑄃𑄧𑄃𑄨 𑄃𑄊𑄬।,Present
"কোথা যাবে,কি গরীব তাা না করে","𑄇𑄪𑄙𑄪 𑄡𑄬𑄝, 𑄇𑄨 𑄉𑄧𑄢𑄨𑄝 𑄌𑄨𑄚𑄴𑄘𑄬 𑄚𑄧 𑄉𑄧𑄢𑄨",Present
"বুো মা-বাবা, বাি ঘর টিকলো না","𑄝𑄪𑄢𑄳𑄦𑄧 𑄟-𑄝𑄛𑄴, 𑄊𑄧𑄢𑄴 𑄉𑄨𑄢𑄨 𑄚𑄧 𑄢𑄨𑄚𑄨",Past
"পাহাে পদচিহ্ন পেল,লম্বা পথ পেল","𑄟𑄪𑄎𑄪𑄋𑄬 𑄈𑄪𑄌𑄴 𑄛𑄬𑄣𑄧, 𑄣𑄧𑄖𑄴 𑄘𑄪𑄃𑄧",Past
.পুে লাল বেল আনতে যাচ্ছি,𑄛𑄪𑄉𑄧 𑄢𑄋 𑄝𑄬𑄣𑄴 𑄃𑄚𑄨𑄝𑄢𑄴 𑄍𑄨𑄚𑄨।,Present
"তোমরা মানুষ,তোমরা দেবতা","𑄖𑄪𑄟𑄨 𑄟𑄚𑄪𑄌𑄴, 𑄖𑄪𑄟𑄨 𑄘𑄬𑄝𑄬𑄘(𑄘𑄬𑄝𑄧𑄖),",Present
তোমরা ব ব পাথর,"𑄖𑄪𑄟𑄨𑄠𑄳𑄠𑄧 𑄘𑄬𑄏𑄧𑄢𑄴 𑄎𑄘𑄧𑄢𑄴 𑄛𑄖𑄴𑄗𑄧𑄣𑄨,",Present
"তোমরা মানুষ,তোমরা ধনপিঁপা-রামন","𑄖𑄪𑄟𑄨 𑄦𑄪𑄚𑄪𑄟𑄚𑄴, 𑄖𑄪𑄟𑄨 𑄙𑄧𑄚𑄴𑄛𑄪𑄘𑄨 - 𑄢𑄙𑄟𑄧𑄚𑄴",Present
"আগুন, বিচ্চুন, সিব-নাা","𑄝𑄧𑄢𑄴𑄟, 𑄝𑄨𑄌𑄴𑄪𑄚𑄧, 𑄥𑄨𑄝𑄴 - 𑄚𑄢𑄠𑄧𑄚𑄴,",Present
তোমাদেরও আছে সেই তেজ,𑄖𑄧𑄟𑄢𑄴𑄃𑄮 𑄃𑄊𑄬 𑄥𑄬 𑄖𑄬𑄎𑄴𑄍𑄚𑄨।,Present
এক জাতী মানুষ,𑄇𑄨𑄋𑄨𑄢𑄨 𑄟𑄚𑄪𑄌𑄴 𑄇𑄮𑄟𑄴,Present
"কোথা আছি, কোথা থাকবো",𑄇𑄪𑄙𑄪 𑄃𑄊𑄨; 𑄇𑄪𑄙𑄪 𑄗𑄬𑄝𑄧𑄋𑄴,Future
"নেই পথ বেঁচে থাকার,","𑄚𑄬𑄃𑄨 𑄛𑄧𑄖𑄳𑄠𑄧 𑄝𑄎𑄨 𑄗𑄬𑄝𑄢𑄴,",Present
.পদে পদে থাকতে পারে না,𑄛𑄧𑄘𑄬 𑄊𑄘𑄬 𑄚𑄧 𑄛𑄢𑄬 𑄝𑄬𑄢𑄳𑄦𑄬𑄃𑄨,Present
.নিচে পার গন্ধ,𑄚𑄨𑄊𑄨𑄣𑄬 𑄛𑄧𑄎𑄝𑄌𑄴।,Present
এই খেলাটি জুে পার জন্য করা হ,𑄎𑄘𑄧𑄢𑄴 𑄃𑄧𑄙𑄨𑄉𑄢𑄴 𑄛𑄬𑄝𑄢𑄴 𑄚𑄋𑄬 𑄃𑄬 𑄈𑄢,Present
ভে ভে মারামারি,𑄞𑄬𑄃𑄨𑄠𑄬 𑄞𑄬𑄃𑄨𑄠𑄬 𑄟𑄢𑄟𑄢𑄨,Present
একটি ছোট শিশু খেলা করছে,𑄃𑄨𑄃𑄚𑄴𑄘𑄧 𑄌𑄨𑄉𑄮𑄚𑄴 𑄉𑄪𑄢𑄮 𑄈𑄢,Present
.আংটা সুতা নিে রান্না করা,𑄃𑄢𑄋𑄴 𑄥𑄪𑄠𑄮𑄣𑄴 𑄚𑄨𑄣 𑄇𑄢𑄨।,Present
সারাদিন রাত থাকে না,𑄘𑄨𑄚𑄴-𑄢𑄬𑄖𑄴 𑄃𑄝𑄋𑄴 𑄚𑄬𑄃𑄨 𑄉𑄧𑄢𑄨,Present
"এত ব বাঙালি, এত ব বাঙালি","𑄃𑄬𑄖𑄴𑄧𑄚𑄴 𑄝𑄋𑄣𑄴 𑄖𑄧𑄛𑄴𑄬 𑄖𑄧𑄛𑄴𑄬 𑄏𑄇𑄴𑄝𑄪𑄘𑄨,",Present
তুমি আছাা করে,𑄖𑄪𑄟𑄨 𑄃𑄊𑄧 𑄢𑄬𑄚-𑄢𑄬𑄚𑄨 𑄉𑄧𑄢𑄨,Present
আমার মেদগুলো কোথা আছে,𑄟𑄳𑄦 𑄟𑄬𑄘𑄬𑄚𑄨 𑄟𑄪𑄠𑄧𑄱𑄖𑄴 𑄇𑄬𑄚𑄬,Present
হাসিখুসি তোমরা?,𑄦𑄎𑄨 𑄜𑄪𑄘𑄬𑄝 𑄖𑄪𑄟𑄨?,Present
ধিে যাওার মতো চোখ নেই,𑄙𑄳𑄠𑄚𑄨 𑄉𑄳𑄠𑄠𑄬𑄚𑄨𑄢𑄴 𑄌𑄮𑄇𑄴 𑄚𑄬𑄃𑄨,Present
সত্য কথা বলতে পারে না,"𑄥𑄧𑄖𑄳𑄠𑄧 𑄇𑄧𑄙 𑄇𑄮𑄃𑄨 𑄚𑄧 𑄛𑄢𑄬,",Present
বাি থেকে বের হে দৌাদৌি,𑄊𑄧𑄢𑄧𑄖𑄴𑄪𑄚𑄴 𑄣𑄟𑄨𑄣𑄬 𑄘𑄧𑄢𑄴𑄘𑄧𑄢𑄴 𑄗𑄧𑄢𑄴𑄗𑄧𑄢𑄴,Present
অসুুস্থ হওা,𑄃𑄧𑄚𑄴𑄥𑄪𑄢𑄴 𑄗𑄠𑄴 𑄌𑄨𑄘𑄬।,Present
বাির পাশ দিে গ্রাম পার হে যাচ্ছে,𑄊𑄧𑄢𑄴 𑄛𑄪𑄢𑄬𑄢𑄴 𑄃𑄘𑄟𑄴 𑄛𑄪𑄢𑄬𑄢𑄴,Present
শক্ত হেছে জুমের মানুষগুলো,"𑄈𑄧𑄢𑄧𑄣𑄴𑄮 𑄦𑄧𑄘𑄧𑄚𑄴 𑄎𑄪𑄟𑄴𑄮𑄃𑄪𑄚𑄴,",Present
.কাউকে নিে বুক ভ করে থাকা,𑄈𑄢𑄬 𑄚𑄨𑄚𑄬𑄃𑄨 𑄝𑄪𑄇𑄴 𑄘𑄧𑄢𑄧 𑄉𑄧𑄢𑄨 𑄗𑄚,Present
তাদের কোনো সুোল,𑄚𑄬𑄃𑄨 𑄖𑄢𑄢𑄴 𑄇𑄧𑄚𑄧 𑄥𑄪𑄠𑄮𑄣𑄴।,Present
রাজহাঁসের ন্যাকা,𑄢𑄎𑄴𑄚𑄨𑄖𑄨 𑄚𑄋𑄬-,Present
.সমান সমান মা-র বুক ভরা,𑄥𑄧𑄖𑄴 𑄥𑄧𑄖𑄴 𑄟-𑄢𑄴 𑄝𑄪𑄇𑄴 𑄥𑄢𑄣𑄳𑄠,Present
তারা দিে দে না,𑄘𑄨𑄊𑄨𑄚𑄬𑄠𑄳𑄠𑄧 𑄚𑄧 𑄘𑄬𑄊𑄧𑄚𑄴 𑄖𑄢,Present
তোমাকে কেন মানুষ বলি?,𑄖𑄧𑄟𑄢𑄬 𑄇𑄨𑄋𑄨𑄢𑄨 𑄟𑄚𑄪𑄌𑄴 𑄇𑄮𑄟𑄴?,Present
.এটা সম ঘুরে ঘুরে,𑄃𑄨𑄃𑄚𑄴 𑄥𑄟𑄎𑄧𑄖𑄴 𑄊𑄪𑄢𑄨 𑄜𑄨𑄢𑄨,Present
বাির দরজা বন্ধ করে দেওা,"𑄊𑄧𑄢𑄧 𑄥𑄪𑄖𑄴𑄢𑄪 𑄞𑄩𑄝𑄨𑄥𑄧𑄚𑄴,",Present
তাদেরকে খুব ভালো করে চিনবে,𑄖𑄢𑄢𑄬 𑄝𑄬𑄉𑄬 𑄌𑄨𑄚𑄨 𑄖𑄧,Future
কুিে ফেলবে না কোনো দিন,𑄇𑄪𑄢𑄨 𑄚𑄧 𑄜𑄬𑄣𑄬𑄝 𑄇𑄧𑄚𑄧 𑄘𑄨𑄚𑄴।,Future
কি সুন্দর হিল চাটাই,𑄇𑄨 𑄘𑄮𑄣𑄴 𑄦𑄨𑄣𑄴 𑄌𑄘𑄨𑄉𑄋𑄴,Present
.কতগুলো গেেছে?,𑄂;𑄇𑄧𑄚𑄴 𑄉𑄮𑄎𑄬𑄚𑄬 𑄝𑄚𑄬𑄣𑄧?,Present
এত চাং বুক ভরে না,𑄡𑄬𑄘𑄧𑄇𑄴 𑄌𑄋𑄴 𑄝𑄪𑄇𑄴 𑄚𑄧 𑄞𑄧𑄢𑄬,Present
একনাগাে তাকানোর আওাজ আছে,𑄂;𑄃𑄬𑄇𑄴 𑄢𑄨𑄚𑄨 𑄌𑄬𑄝𑄢𑄴 𑄃𑄃𑄧𑄱𑄌𑄴 𑄃𑄬𑄡𑄬।,Present
ছা গাঙের পানিতে,𑄍𑄧𑄢𑄳𑄦 𑄉𑄋𑄴 𑄥𑄉𑄧𑄢𑄧 𑄛𑄚𑄨𑄖𑄴,Present
.নানা ধরনের মানুষ খেলা করে।,𑄂;𑄚𑄚𑄋𑄴 𑄛𑄧𑄢𑄚𑄴𑄝𑄧𑄣 𑄈𑄢 𑄇𑄧𑄚𑄴,Present
কে খাওা না খাওা,𑄇𑄧𑄚𑄴𑄚 𑄎𑄮𑄉𑄠𑄴 𑄈𑄚 𑄝𑄨𑄚,Present
.বাই ব বাচ্চাটি হাসছে।,𑄂;𑄝𑄮𑄃𑄨 𑄝𑄮𑄃𑄨 𑄃𑄧𑄚𑄴𑄥𑄪𑄢𑄴 𑄟𑄪𑄃𑄨 𑄞𑄝𑄧𑄋𑄴।,Present
গাছে বাঁশে ফুল ফোটে,𑄉𑄏𑄬 𑄝𑄏𑄬 𑄜𑄪𑄣𑄬 𑄜𑄉𑄮𑄢𑄬,Present
.পজ্জোমাা খেলা,𑄂;𑄛𑄧𑄖𑄴𑄖𑄛𑄧𑄖𑄴𑄖𑄨 𑄈𑄬𑄣𑄚𑄴 𑄈𑄢,Present
দুই চোখ মেলে তাকিে থাকে,𑄘𑄨 𑄌𑄮𑄇𑄴 𑄟𑄨𑄣𑄨 𑄌𑄬𑄃𑄨 𑄗𑄋𑄴,Present
মনের ইচ্ছা পূরণ হওা,𑄂;𑄌𑄨𑄖𑄴𑄖𑄚𑄴 𑄡𑄃𑄨 𑄎𑄪𑄢𑄬।,Present
হেলো হেলো ব্যাঙ বনের মধ্যে অনেক ফুল,𑄦𑄬𑄭𑄣𑄴 𑄦𑄬𑄭𑄣𑄴 𑄖𑄢𑄪𑄟𑄴 𑄝𑄧𑄚𑄧 𑄥𑄬𑄢𑄬 𑄥𑄬𑄢𑄬 𑄚𑄚𑄋𑄴 𑄜𑄪𑄣𑄴,Present
.পিপিে পিপিে বাতাস বেছে,"𑄂;𑄛𑄨𑄝𑄨𑄢𑄴 𑄛𑄨𑄝𑄨𑄢𑄴 𑄝𑄮𑄃𑄨𑄠𑄬𑄢𑄬 𑄚𑄎𑄧𑄚𑄴,",Present
ছোট ছোট করে,𑄌𑄨𑄉𑄮𑄚𑄴 𑄌𑄨𑄎𑄨 𑄡𑄨𑄇𑄴𑄈𑄬 𑄉𑄧𑄢𑄨,Present
.কেরাংজু দোলনা দোলে,𑄂;𑄇𑄬𑄢𑄬𑄁𑄎𑄪 𑄘𑄮𑄣𑄧𑄚𑄧𑄖𑄴 𑄘𑄪𑄣𑄧𑄚𑄴।,Present
.আকাশে তারা ভাসে,𑄃𑄉𑄏𑄧𑄖𑄴 𑄖𑄢 𑄟𑄬𑄣,Present
.পুে দেখতে হ খেলা,"𑄂;𑄛𑄪𑄚𑄧𑄋𑄴 𑄌𑄚𑄬 𑄦𑄧𑄠𑄴 𑄈𑄢,",Present
রংধনুর রঙে সাজা,𑄢𑄚𑄴𑄎𑄪𑄚𑄨𑄠𑄬 𑄢𑄧𑄋𑄬 𑄥𑄎𑄠𑄴,Present
.গবাদিপশু,𑄂;𑄉𑄧𑄘 𑄃𑄉𑄌𑄴𑄥𑄚𑄴।,Present
এই পৃথিবীতে সবটা,𑄃𑄬 𑄛𑄨𑄖𑄴𑄗𑄨𑄟𑄨𑄖𑄴 𑄉𑄧𑄘,Present
.চানাটা রোদ পতেছে,𑄂;𑄌𑄚𑄚𑄴 𑄝𑄬𑄣𑄚𑄴 𑄛𑄳𑄦𑄧𑄢𑄴 𑄉𑄧𑄢𑄬,Present
তাদের ইজিকে কথা দেওা,𑄚𑄧 𑄝𑄪𑄏𑄧𑄋𑄴 𑄖𑄢𑄢𑄴 𑄃𑄨𑄎𑄨𑄢𑄬 𑄇𑄧𑄙,Present
আমার মাথা ঘুরতেছে,𑄂;𑄟𑄙 𑄟𑄧𑄢𑄴 𑄊𑄪𑄢𑄨 𑄃𑄪𑄘𑄬।,Present
আমার আাআি দেখ,𑄃𑄧𑄱 𑄟𑄧𑄢𑄴 𑄃𑄃𑄧𑄱𑄎𑄧𑄢𑄴 𑄘𑄬𑄌𑄴𑄍𑄚𑄴,Present
.সবাই তোমাকে পছন্দ করে,"𑄂;𑄝𑄬𑄇𑄴𑄇𑄪𑄚𑄬 𑄖𑄧𑄢𑄬 𑄇𑄮𑄌𑄴𑄛𑄚𑄴,",Present
সবাই তোমার বন্ধু,𑄝𑄬𑄇𑄴𑄇𑄪𑄚𑄬 𑄎𑄧𑄚𑄧𑄟𑄚𑄴 𑄖𑄧 𑄝𑄪𑄉𑄧𑄖𑄴,Present
কুস্তি লড়ার ইচ্ছা,𑄂;𑄝𑄎𑄨 𑄗𑄬𑄝𑄢𑄴 𑄌𑄚𑄴।,Present
সারাজীবন বেঁচে থাকার ইচ্ছা,𑄎𑄧𑄚𑄧𑄟𑄚𑄴 𑄝𑄎𑄨 𑄗𑄬𑄝𑄢𑄴 𑄌𑄚𑄴,Present
.মন সুে গান,"𑄂;𑄟𑄧𑄚𑄧𑄢𑄴 𑄥𑄪𑄉𑄬 𑄉𑄨𑄖𑄴 𑄉𑄚𑄴,",Present
.পোরাটি মন ভালো করে ধুেছে,𑄛𑄬𑄃𑄨𑄇𑄴𑄇𑄪𑄚𑄬 𑄟𑄧𑄚𑄧𑄢𑄴 𑄥𑄪𑄉𑄬 𑄙𑄪𑄠𑄮,Present
.মেে উে যাওা,𑄂;𑄟𑄨𑄣𑄨 𑄃𑄪𑄢𑄳𑄦𑄨 𑄃𑄪𑄢𑄳𑄦𑄨 𑄡𑄚𑄴।,Present
জীবনটা কুলি করো না,𑄎𑄧𑄚𑄧𑄟𑄚𑄴 𑄇𑄪𑄣𑄨 𑄚𑄧 𑄉𑄧𑄢𑄧𑄌𑄴,Present
তোমার যে জিনিস আছে সেটা দা,𑄂;𑄖𑄧𑄢𑄴 𑄡𑄨𑄠𑄬𑄚𑄴 𑄃𑄊𑄬 𑄥𑄨𑄠𑄬𑄚𑄴 𑄘𑄧𑄠𑄮𑄌𑄴,Present
আমাদের সবাইকে,𑄃𑄟𑄳𑄦𑄢𑄬 𑄖𑄪𑄃𑄨 𑄝𑄬𑄇𑄴𑄇𑄪𑄚𑄧𑄢𑄬,Present
রাত হলে নানা ধরনের পোকা গিে গিে,𑄢𑄬𑄖𑄴𑄖𑄪 𑄃𑄬𑄣𑄬 𑄚𑄚𑄋𑄴 𑄛𑄪𑄉𑄬 𑄎𑄪𑄉𑄬,Present
.অনেক মন ভালো লাগে,"𑄂;𑄘𑄧𑄉𑄧𑄢𑄧𑄚𑄴 𑄟𑄧𑄚𑄧 𑄥𑄪𑄉𑄬,",Present
সবাইকে চাঁচা তুমি,𑄝𑄬𑄇𑄴𑄇𑄪𑄚𑄧𑄢𑄬 𑄌𑄌𑄴 𑄖𑄪𑄃𑄨,Present
".সুঁচালো,সুঁচালো",𑄂;𑄥𑄪𑄉𑄬 𑄃𑄢𑄴 𑄘𑄪𑄉𑄬।,Present
গাছের ফাঁকা বই,𑄉𑄏𑄧 𑄈𑄪𑄣𑄪𑄋𑄧𑄖𑄴 𑄝𑄮𑄃𑄨,Present
.পোরাটা কুল খোলেনা,"𑄂;𑄛𑄬𑄎𑄝𑄮 𑄇𑄪𑄣𑄴 𑄈𑄪𑄣𑄃𑄨,",Present
ভোর হে ভোর হেছে,𑄛𑄳𑄦𑄧𑄢𑄴 𑄦𑄧𑄠𑄬 𑄛𑄳𑄦𑄧𑄢𑄴 𑄦𑄧𑄠𑄬,Present
ঘুম থেকে উঠার সম,𑄂;𑄊𑄪𑄟𑄧𑄖𑄴𑄖𑄪𑄚𑄴 𑄃𑄪𑄘𑄧 𑄃𑄪𑄘𑄧।,Present
ছোট কুকুরটি চিরিে চারা রোপণ করছে,𑄌𑄨𑄉𑄮𑄚𑄴 𑄛𑄬𑄃𑄨𑄇𑄴𑄪𑄚𑄬 𑄌𑄨𑄢𑄨𑄋𑄴 𑄌𑄢𑄋𑄴 𑄘𑄧𑄉𑄧𑄢𑄧𑄚𑄴,Present
লাঙল দিে হেঁটে যাওা,"𑄦𑄣𑄳𑄠 𑄟𑄚𑄴𑄥𑄳𑄠 𑄦𑄣𑄧𑄖𑄴 𑄡𑄘𑄧𑄚𑄴,",Present
মেে ছেলে মনের ইচ্ছে পূরণ করে,𑄟𑄨𑄣𑄬 𑄟𑄧𑄢𑄧𑄖𑄴 𑄟𑄧𑄚𑄧𑄢𑄴 𑄥𑄪𑄉𑄬,Present
.ভাই-বোনেরা জমিতে কাজ করতেছে,𑄂;𑄞𑄪𑄠𑄮 𑄟𑄘𑄧𑄖𑄴 𑄇𑄟𑄴 𑄉𑄧𑄖𑄴𑄗𑄧𑄚𑄴।,Present
আমাদের বািটা,𑄃𑄟𑄳𑄦 𑄃𑄃𑄮𑄎𑄧𑄢𑄴 𑄘𑄬𑄌𑄴𑄍𑄚𑄴,Present
.সবাই তাাতাি বাি,"𑄂;𑄉𑄏𑄬 𑄝𑄏𑄬 𑄝𑄬𑄇𑄴𑄈𑄚𑄴,",Present
মনে মনে চাংমাহ্ চাং,𑄟𑄧𑄚𑄬 𑄟𑄧𑄚𑄬 𑄢𑄨𑄚𑄨 𑄌𑄋𑄴,Present
আমার চোখের পলক ফেলতে পারিনা,𑄂;𑄃𑄟𑄳𑄦 𑄘𑄬𑄌𑄴𑄍𑄚𑄧𑄢𑄴 𑄙𑄧𑄇𑄳𑄠𑄬 𑄚𑄧 𑄘𑄧 𑄛𑄋𑄴।,Present
গাছে বাঁশে ভরা,𑄉𑄏𑄬 𑄝𑄏𑄬 𑄞𑄧𑄢,Present
.আমি তো মলা করি,"𑄂;𑄟𑄮𑄚𑄴 𑄟𑄪𑄢𑄳𑄦𑄧 𑄉𑄧𑄢𑄳𑄦,",Present
মন বসতেছে এই দেশে,𑄟𑄧𑄚𑄧𑄢𑄴 𑄥𑄪𑄉𑄬 𑄃𑄬 𑄘𑄬𑄏𑄧𑄖𑄴,Present
মানুষ বেঁচে থাকতে পারা,𑄂;𑄎𑄧𑄚𑄧𑄟𑄚𑄴 𑄝𑄎𑄨 𑄗𑄬𑄃𑄨 𑄛𑄢।,Present
".পাহাের দুঃখ, মনের দুঃখ হািেছে","𑄛𑄧𑄢𑄴𑄝𑄱, 𑄞𑄏𑄬 𑄘𑄪𑄃𑄧 𑄟𑄧𑄚𑄧 𑄘𑄪𑄇𑄴 𑄦𑄞𑄨𑄣𑄳𑄠𑄌𑄴",Present
"১. আগ্রহ হওা, আগ্রহ করা ২. আগ্রহ করা",𑄙𑄢𑄴 𑄉𑄧𑄢𑄴 𑄟𑄧𑄚𑄴,Present
এক জাতী মাটি,𑄦𑄨𑄣𑄮𑄢𑄴 𑄟𑄘𑄨 𑄝𑄧𑄣,Present
বুঝছো তো মুরগীর দল,𑄝𑄪𑄏𑄮𑄘𑄮𑄇𑄴 𑄥𑄪𑄉𑄪𑄚𑄧𑄢𑄴 𑄘𑄧𑄣𑄴।,Present
জাগা কচ্ছপগুলো মার খাওার জন্য প্রস্তুত,𑄎𑄘𑄧𑄢𑄴 𑄥𑄧𑄖𑄴𑄪𑄢𑄪𑄃𑄪𑄚𑄧𑄢𑄬 𑄟𑄢𑄧 𑄖𑄬𑄉𑄧,Present
ঘুম আসতেছে না,𑄊𑄪𑄟𑄴 𑄡𑄬𑄝𑄢𑄴 𑄚𑄬𑄭 𑄃𑄧𑄇𑄴𑄖𑄧,Present
একটু একটু করে একটু একটু করে লবনাক্ত ভাত বানাতে হ,𑄃𑄬𑄉𑄌𑄨𑄖𑄴𑄬 𑄃𑄬𑄉𑄟𑄧𑄚𑄬 𑄣𑄟𑄧 𑄞𑄖𑄴 𑄟𑄮𑄎 𑄛𑄪𑄚𑄧𑄢𑄴 𑄝𑄚𑄨,Present
জাতটা উত্তোলনের কাজে,𑄎𑄖𑄴𑄮 𑄃𑄪𑄖𑄴𑄘𑄮𑄢𑄴 𑄇𑄟𑄧𑄖𑄴।,Present
৯ আগস্ট ২০১৮,𑄿 𑄃𑄉𑄧𑄥𑄴𑄑𑄴 𑄸𑄶𑄷𑄾,Present
এক জাতী বুনো ফল,𑄘𑄪𑄉𑄧𑄢𑄴 𑄣𑄟,Present
এক জাতী সবজি,𑄃𑄂 𑄟 𑄦𑄨𑄣𑄴𑄌𑄘𑄨𑄉𑄋𑄴!,Present
জনে জনে তোমার বুদ্ধ,𑄎𑄧𑄚𑄧𑄟𑄴 𑄎𑄧𑄚𑄧𑄟𑄴 𑄖𑄧 𑄝𑄪𑄉𑄧𑄖𑄴,Present
কেন এত ভে ভে রাত কাটানো,𑄇𑄨𑄖𑄴𑄖𑄬 𑄃𑄬𑄙𑄧𑄇𑄴 𑄞𑄬𑄃𑄨𑄠𑄬 𑄞𑄬𑄃𑄨𑄠𑄬 𑄢𑄬𑄚 𑄢𑄬𑄚𑄨,Present
যাদের চলে যাবার কথা এক পদে,𑄡𑄢 𑄌𑄧𑄣𑄨𑄝𑄢𑄴 𑄇𑄧𑄙 𑄃𑄬𑄇𑄴 𑄛𑄧𑄘𑄬,Present
তাদের দলটা মারা মারি,𑄖𑄢 𑄉𑄧𑄖𑄴𑄖𑄧𑄚𑄴 𑄟𑄢 𑄟𑄢𑄨।,Present
বজ্রপাতের আওাজ বাজাচ্ছে কাপের তলা,"𑄘𑄬𑄝𑄚𑄬 𑄘𑄬𑄝𑄚𑄬 𑄇𑄮𑄣𑄴 𑄝𑄎𑄬 𑄇𑄝𑄨 𑄛𑄬𑄣𑄴𑄣𑄮𑄚𑄴 𑄝𑄠𑄬𑄌𑄴 𑄟𑄪𑄃𑄪𑄎𑄧,",Present
মগের কুকি থেকে কাটা মাংস খেে পাতলা হেছে চামা,𑄟𑄧𑄉𑄴 𑄇𑄪𑄇𑄨𑄖𑄴𑄖𑄪𑄚𑄴 𑄇𑄝𑄚𑄴 𑄈𑄬𑄃𑄨 𑄣𑄬𑄋𑄴 𑄦𑄧𑄠𑄬 𑄌𑄋𑄴𑄟 𑄎𑄖𑄴𑄖𑄱।,Present
কাপ দিে চামা দিে নিল চাকমারা,"𑄇𑄛𑄴𑄖𑄬 𑄉𑄧𑄙 𑄇𑄢𑄨 𑄚𑄨𑄣𑄧 𑄌𑄋𑄴𑄟𑄃𑄪𑄚𑄧𑄢𑄴 𑄝𑄧𑄣𑄴,",Past
