chakma,bangla
𑄌𑄨𑄖𑄴 𑄎𑄪𑄢𑄬𑄝𑄢𑄴 𑄟𑄧𑄚𑄴 𑄉𑄧𑄣𑄬𑄝𑄢𑄴 𑄇𑄨 𑄃𑄊𑄬 𑄃𑄟𑄢𑄴?,আমার মন ভালো করার কি আছে?
𑄃𑄪𑄎𑄬 𑄡𑄧 𑄃𑄪𑄎𑄬 𑄡𑄧 𑄝𑄮𑄃𑄨 𑄗𑄬𑄝𑄢𑄴 𑄚𑄬𑄃𑄨 𑄘𑄧 𑄃𑄧𑄇𑄴𑄖𑄧।,উে উে যত বই রাখার আছে তো
"𑄞𑄪𑄃𑄨 𑄥𑄉𑄨𑄚𑄴 𑄙𑄪𑄝𑄨 𑄡𑄬𑄣𑄧, 𑄝𑄧𑄢𑄴 𑄛𑄧𑄢𑄧𑄋𑄴 𑄡𑄬𑄃𑄨 𑄛𑄬𑄣𑄧𑄋𑄴","ভুই সাপগুলো শেষ হে গেল, ব পাখানা যে পেল"
"𑄞𑄌𑄴 𑄃𑄮𑄇𑄴𑄮𑄢𑄴 𑄥𑄦𑄨𑄖𑄳𑄠𑄧 𑄢𑄨𑄘𑄨 𑄥𑄪𑄘𑄮𑄟𑄴 𑄦𑄏𑄨 𑄡𑄬𑄣𑄧,",ভাত একটার সুতা দিে রে গেল
𑄟𑄧𑄚𑄴 𑄝𑄮𑄏𑄬𑄝𑄧𑄋𑄴 𑄇𑄨𑄋𑄨𑄢𑄨?,মনের মতো হবে কেমনে?
"𑄌𑄨𑄉𑄮𑄚𑄴 𑄍𑄧𑄢𑄳𑄦 𑄟𑄪𑄢𑄨 𑄡𑄬𑄣𑄧, 𑄟𑄮𑄚𑄴 𑄟𑄪𑄢𑄳𑄦𑄧 𑄚𑄙 𑄦𑄧𑄣𑄧","ছোট ছাটা লুকিে গেল, পাহাের পাহাের নাা হলো"
𑄝𑄬𑄋𑄴𑄉𑄧𑄟-𑄝𑄬𑄋𑄴𑄉𑄧𑄟𑄨 𑄥𑄢𑄨𑄣𑄇𑄴 𑄃𑄘𑄟𑄴,বেইন-বেইন খেলার গ্রাম
𑄞𑄧𑄢𑄨𑄣𑄧 𑄥𑄪𑄇𑄪𑄚𑄧 𑄛𑄣𑄬 𑄝𑄎𑄨𑄝𑄧𑄋𑄴 𑄇𑄨𑄋𑄨𑄢𑄨?,.ভ করল সুকুন পালে কি হবে?
𑄃𑄧𑄃𑄨 𑄟𑄮𑄧𑄚𑄴 𑄟𑄪𑄢𑄳𑄦𑄧𑄃𑄪𑄚𑄴 𑄘𑄉𑄧𑄘𑄧𑄚𑄴,এই পাহাের পাহাগুলো ডাকতেছে
𑄃𑄧𑄃𑄨 𑄏𑄢𑄚𑄨 𑄘𑄉𑄬𑄢𑄴,ওই জঙ্গলটা পরিষ্কার করে দাও
𑄃𑄬𑄡𑄧 𑄃𑄬𑄡𑄧 𑄃𑄨𑄢𑄪𑄇𑄴 𑄡𑄪𑄉𑄧𑄢𑄴 𑄚𑄪𑄠𑄮 𑄛𑄨𑄢𑄳𑄦𑄨,এত ব ব ব অসুখ
𑄇𑄇𑄳𑄠𑄬 (𑄞𑄬𑄣) 𑄖𑄧𑄟𑄢𑄴 𑄎𑄪𑄉𑄧𑄣𑄴 𑄃𑄧𑄃𑄨 𑄃𑄊𑄬।,"কাকা, বো, তোমাদের মিল আছে"
"𑄇𑄪𑄙𑄪 𑄡𑄬𑄝, 𑄇𑄨 𑄉𑄧𑄢𑄨𑄝 𑄌𑄨𑄚𑄴𑄘𑄬 𑄚𑄧 𑄉𑄧𑄢𑄨","কোথা যাবে,কি গরীব তাা না করে"
"𑄝𑄪𑄢𑄳𑄦𑄧 𑄟-𑄝𑄛𑄴, 𑄊𑄧𑄢𑄴 𑄉𑄨𑄢𑄨 𑄚𑄧 𑄢𑄨𑄚𑄨","বুো মা-বাবা, বাি ঘর টিকলো না"
"𑄟𑄪𑄎𑄪𑄋𑄬 𑄈𑄪𑄌𑄴 𑄛𑄬𑄣𑄧, 𑄣𑄧𑄖𑄴 𑄘𑄪𑄃𑄧","পাহাে পদচিহ্ন পেল,লম্বা পথ পেল"
𑄛𑄪𑄉𑄧 𑄢𑄋 𑄝𑄬𑄣𑄴 𑄃𑄚𑄨𑄝𑄢𑄴 𑄍𑄨𑄚𑄨।,.পুে লাল বেল আনতে যাচ্ছি
"𑄖𑄪𑄟𑄨 𑄟𑄚𑄪𑄌𑄴, 𑄖𑄪𑄟𑄨 𑄘𑄬𑄝𑄬𑄘(𑄘𑄬𑄝𑄧𑄖),","তোমরা মানুষ,তোমরা দেবতা"
"𑄖𑄪𑄟𑄨𑄠𑄳𑄠𑄧 𑄘𑄬𑄏𑄧𑄢𑄴 𑄎𑄘𑄧𑄢𑄴 𑄛𑄖𑄴𑄗𑄧𑄣𑄨,",তোমরা ব ব পাথর
"𑄖𑄪𑄟𑄨 𑄦𑄪𑄚𑄪𑄟𑄚𑄴, 𑄖𑄪𑄟𑄨 𑄙𑄧𑄚𑄴𑄛𑄪𑄘𑄨 - 𑄢𑄙𑄟𑄧𑄚𑄴","তোমরা মানুষ,তোমরা ধনপিঁপা-রামন"
"𑄝𑄧𑄢𑄴𑄟, 𑄝𑄨𑄌𑄴𑄪𑄚𑄧, 𑄥𑄨𑄝𑄴 - 𑄚𑄢𑄠𑄧𑄚𑄴,","আগুন, বিচ্চুন, সিব-নাা"
𑄖𑄧𑄟𑄢𑄴𑄃𑄮 𑄃𑄊𑄬 𑄥𑄬 𑄖𑄬𑄎𑄴𑄍𑄚𑄨।,তোমাদেরও আছে সেই তেজ
𑄇𑄨𑄋𑄨𑄢𑄨 𑄟𑄚𑄪𑄌𑄴 𑄇𑄮𑄟𑄴,এক জাতী মানুষ
𑄇𑄪𑄙𑄪 𑄃𑄊𑄨; 𑄇𑄪𑄙𑄪 𑄗𑄬𑄝𑄧𑄋𑄴,"কোথা আছি, কোথা থাকবো"
"𑄚𑄬𑄃𑄨 𑄛𑄧𑄖𑄳𑄠𑄧 𑄝𑄎𑄨 𑄗𑄬𑄝𑄢𑄴,","নেই পথ বেঁচে থাকার,"
𑄛𑄧𑄘𑄬 𑄊𑄘𑄬 𑄚𑄧 𑄛𑄢𑄬 𑄝𑄬𑄢𑄳𑄦𑄬𑄃𑄨,.পদে পদে থাকতে পারে না
𑄚𑄨𑄊𑄨𑄣𑄬 𑄛𑄧𑄎𑄝𑄌𑄴।,.নিচে পার গন্ধ
𑄎𑄘𑄧𑄢𑄴 𑄃𑄧𑄙𑄨𑄉𑄢𑄴 𑄛𑄬𑄝𑄢𑄴 𑄚𑄋𑄬 𑄃𑄬 𑄈𑄢,এই খেলাটি জুে পার জন্য করা হ
𑄞𑄬𑄃𑄨𑄠𑄬 𑄞𑄬𑄃𑄨𑄠𑄬 𑄟𑄢𑄟𑄢𑄨,ভে ভে মারামারি
𑄃𑄨𑄃𑄚𑄴𑄘𑄧 𑄌𑄨𑄉𑄮𑄚𑄴 𑄉𑄪𑄢𑄮 𑄈𑄢,একটি ছোট শিশু খেলা করছে
𑄃𑄢𑄋𑄴 𑄥𑄪𑄠𑄮𑄣𑄴 𑄚𑄨𑄣 𑄇𑄢𑄨।,.আংটা সুতা নিে রান্না করা
𑄘𑄨𑄚𑄴-𑄢𑄬𑄖𑄴 𑄃𑄝𑄋𑄴 𑄚𑄬𑄃𑄨 𑄉𑄧𑄢𑄨,সারাদিন রাত থাকে না
"𑄃𑄬𑄖𑄴𑄧𑄚𑄴 𑄝𑄋𑄣𑄴 𑄖𑄧𑄛𑄴𑄬 𑄖𑄧𑄛𑄴𑄬 𑄏𑄇𑄴𑄝𑄪𑄘𑄨,","এত ব বাঙালি, এত ব বাঙালি"
𑄖𑄪𑄟𑄨 𑄃𑄊𑄧 𑄢𑄬𑄚-𑄢𑄬𑄚𑄨 𑄉𑄧𑄢𑄨,তুমি আছাা করে
𑄟𑄳𑄦 𑄟𑄬𑄘𑄬𑄚𑄨 𑄟𑄪𑄠𑄧𑄱𑄖𑄴 𑄇𑄬𑄚𑄬,আমার মেদগুলো কোথা আছে
𑄦𑄎𑄨 𑄜𑄪𑄘𑄬𑄝 𑄖𑄪𑄟𑄨?,হাসিখুসি তোমরা?
𑄙𑄳𑄠𑄚𑄨 𑄉𑄳𑄠𑄠𑄬𑄚𑄨𑄢𑄴 𑄌𑄮𑄇𑄴 𑄚𑄬𑄃𑄨,ধিে যাওার মতো চোখ নেই
"𑄥𑄧𑄖𑄳𑄠𑄧 𑄇𑄧𑄙 𑄇𑄮𑄃𑄨 𑄚𑄧 𑄛𑄢𑄬,",সত্য কথা বলতে পারে না
𑄊𑄧𑄢𑄧𑄖𑄴𑄪𑄚𑄴 𑄣𑄟𑄨𑄣𑄬 𑄘𑄧𑄢𑄴𑄘𑄧𑄢𑄴 𑄗𑄧𑄢𑄴𑄗𑄧𑄢𑄴,বাি থেকে বের হে দৌাদৌি
𑄃𑄧𑄚𑄴𑄥𑄪𑄢𑄴 𑄗𑄠𑄴 𑄌𑄨𑄘𑄬।,অসুুস্থ হওা
𑄊𑄧𑄢𑄴 𑄛𑄪𑄢𑄬𑄢𑄴 𑄃𑄘𑄟𑄴 𑄛𑄪𑄢𑄬𑄢𑄴,বাির পাশ দিে গ্রাম পার হে যাচ্ছে
"𑄈𑄧𑄢𑄧𑄣𑄴𑄮 𑄦𑄧𑄘𑄧𑄚𑄴 𑄎𑄪𑄟𑄴𑄮𑄃𑄪𑄚𑄴,",শক্ত হেছে জুমের মানুষগুলো
𑄈𑄢𑄬 𑄚𑄨𑄚𑄬𑄃𑄨 𑄝𑄪𑄇𑄴 𑄘𑄧𑄢𑄧 𑄉𑄧𑄢𑄨 𑄗𑄚,.কাউকে নিে বুক ভ করে থাকা
𑄚𑄬𑄃𑄨 𑄖𑄢𑄢𑄴 𑄇𑄧𑄚𑄧 𑄥𑄪𑄠𑄮𑄣𑄴।,তাদের কোনো সুোল
𑄢𑄎𑄴𑄚𑄨𑄖𑄨 𑄚𑄋𑄬-,রাজহাঁসের ন্যাকা
𑄥𑄧𑄖𑄴 𑄥𑄧𑄖𑄴 𑄟-𑄢𑄴 𑄝𑄪𑄇𑄴 𑄥𑄢𑄣𑄳𑄠,.সমান সমান মা-র বুক ভরা
𑄘𑄨𑄊𑄨𑄚𑄬𑄠𑄳𑄠𑄧 𑄚𑄧 𑄘𑄬𑄊𑄧𑄚𑄴 𑄖𑄢,তারা দিে দে না
𑄖𑄧𑄟𑄢𑄬 𑄇𑄨𑄋𑄨𑄢𑄨 𑄟𑄚𑄪𑄌𑄴 𑄇𑄮𑄟𑄴?,তোমাকে কেন মানুষ বলি?
𑄃𑄨𑄃𑄚𑄴 𑄥𑄟𑄎𑄧𑄖𑄴 𑄊𑄪𑄢𑄨 𑄜𑄨𑄢𑄨,.এটা সম ঘুরে ঘুরে
"𑄊𑄧𑄢𑄧 𑄥𑄪𑄖𑄴𑄢𑄪 𑄞𑄩𑄝𑄨𑄥𑄧𑄚𑄴,",বাির দরজা বন্ধ করে দেওা
𑄖𑄢𑄢𑄬 𑄝𑄬𑄉𑄬 𑄌𑄨𑄚𑄨 𑄖𑄧,তাদেরকে খুব ভালো করে চিনবে
𑄇𑄪𑄢𑄨 𑄚𑄧 𑄜𑄬𑄣𑄬𑄝 𑄇𑄧𑄚𑄧 𑄘𑄨𑄚𑄴।,কুিে ফেলবে না কোনো দিন
𑄇𑄨 𑄘𑄮𑄣𑄴 𑄦𑄨𑄣𑄴 𑄌𑄘𑄨𑄉𑄋𑄴,কি সুন্দর হিল চাটাই
𑄂;𑄇𑄧𑄚𑄴 𑄉𑄮𑄎𑄬𑄚𑄬 𑄝𑄚𑄬𑄣𑄧?,.কতগুলো গেেছে?
𑄡𑄬𑄘𑄧𑄇𑄴 𑄌𑄋𑄴 𑄝𑄪𑄇𑄴 𑄚𑄧 𑄞𑄧𑄢𑄬,এত চাং বুক ভরে না
𑄂;𑄃𑄬𑄇𑄴 𑄢𑄨𑄚𑄨 𑄌𑄬𑄝𑄢𑄴 𑄃𑄃𑄧𑄱𑄌𑄴 𑄃𑄬𑄡𑄬।,একনাগাে তাকানোর আওাজ আছে
𑄍𑄧𑄢𑄳𑄦 𑄉𑄋𑄴 𑄥𑄉𑄧𑄢𑄧 𑄛𑄚𑄨𑄖𑄴,ছা গাঙের পানিতে
𑄂;𑄚𑄚𑄋𑄴 𑄛𑄧𑄢𑄚𑄴𑄝𑄧𑄣 𑄈𑄢 𑄇𑄧𑄚𑄴,.নানা ধরনের মানুষ খেলা করে।
𑄇𑄧𑄚𑄴𑄚 𑄎𑄮𑄉𑄠𑄴 𑄈𑄚 𑄝𑄨𑄚,কে খাওা না খাওা
𑄂;𑄝𑄮𑄃𑄨 𑄝𑄮𑄃𑄨 𑄃𑄧𑄚𑄴𑄥𑄪𑄢𑄴 𑄟𑄪𑄃𑄨 𑄞𑄝𑄧𑄋𑄴।,.বাই ব বাচ্চাটি হাসছে।
𑄉𑄏𑄬 𑄝𑄏𑄬 𑄜𑄪𑄣𑄬 𑄜𑄉𑄮𑄢𑄬,গাছে বাঁশে ফুল ফোটে
𑄂;𑄛𑄧𑄖𑄴𑄖𑄛𑄧𑄖𑄴𑄖𑄨 𑄈𑄬𑄣𑄚𑄴 𑄈𑄢,.পজ্জোমাা খেলা
𑄘𑄨 𑄌𑄮𑄇𑄴 𑄟𑄨𑄣𑄨 𑄌𑄬𑄃𑄨 𑄗𑄋𑄴,দুই চোখ মেলে তাকিে থাকে
𑄂;𑄌𑄨𑄖𑄴𑄖𑄚𑄴 𑄡𑄃𑄨 𑄎𑄪𑄢𑄬।,মনের ইচ্ছা পূরণ হওা
𑄦𑄬𑄭𑄣𑄴 𑄦𑄬𑄭𑄣𑄴 𑄖𑄢𑄪𑄟𑄴 𑄝𑄧𑄚𑄧 𑄥𑄬𑄢𑄬 𑄥𑄬𑄢𑄬 𑄚𑄚𑄋𑄴 𑄜𑄪𑄣𑄴,হেলো হেলো ব্যাঙ বনের মধ্যে অনেক ফুল
"𑄂;𑄛𑄨𑄝𑄨𑄢𑄴 𑄛𑄨𑄝𑄨𑄢𑄴 𑄝𑄮𑄃𑄨𑄠𑄬𑄢𑄬 𑄚𑄎𑄧𑄚𑄴,",.পিপিে পিপিে বাতাস বেছে
𑄌𑄨𑄉𑄮𑄚𑄴 𑄌𑄨𑄎𑄨 𑄡𑄨𑄇𑄴𑄈𑄬 𑄉𑄧𑄢𑄨,ছোট ছোট করে
𑄂;𑄇𑄬𑄢𑄬𑄁𑄎𑄪 𑄘𑄮𑄣𑄧𑄚𑄧𑄖𑄴 𑄘𑄪𑄣𑄧𑄚𑄴।,.কেরাংজু দোলনা দোলে
𑄃𑄉𑄏𑄧𑄖𑄴 𑄖𑄢 𑄟𑄬𑄣,.আকাশে তারা ভাসে
"𑄂;𑄛𑄪𑄚𑄧𑄋𑄴 𑄌𑄚𑄬 𑄦𑄧𑄠𑄴 𑄈𑄢,",.পুে দেখতে হ খেলা
𑄢𑄚𑄴𑄎𑄪𑄚𑄨𑄠𑄬 𑄢𑄧𑄋𑄬 𑄥𑄎𑄠𑄴,রংধনুর রঙে সাজা
𑄂;𑄉𑄧𑄘 𑄃𑄉𑄌𑄴𑄥𑄚𑄴।,.গবাদিপশু
𑄃𑄬 𑄛𑄨𑄖𑄴𑄗𑄨𑄟𑄨𑄖𑄴 𑄉𑄧𑄘,এই পৃথিবীতে সবটা
𑄂;𑄌𑄚𑄚𑄴 𑄝𑄬𑄣𑄚𑄴 𑄛𑄳𑄦𑄧𑄢𑄴 𑄉𑄧𑄢𑄬,.চানাটা রোদ পতেছে
𑄚𑄧 𑄝𑄪𑄏𑄧𑄋𑄴 𑄖𑄢𑄢𑄴 𑄃𑄨𑄎𑄨𑄢𑄬 𑄇𑄧𑄙,তাদের ইজিকে কথা দেওা
𑄂;𑄟𑄙 𑄟𑄧𑄢𑄴 𑄊𑄪𑄢𑄨 𑄃𑄪𑄘𑄬।,আমার মাথা ঘুরতেছে
𑄃𑄧𑄱 𑄟𑄧𑄢𑄴 𑄃𑄃𑄧𑄱𑄎𑄧𑄢𑄴 𑄘𑄬𑄌𑄴𑄍𑄚𑄴,আমার আাআি দেখ
"𑄂;𑄝𑄬𑄇𑄴𑄇𑄪𑄚𑄬 𑄖𑄧𑄢𑄬 𑄇𑄮𑄌𑄴𑄛𑄚𑄴,",.সবাই তোমাকে পছন্দ করে
𑄝𑄬𑄇𑄴𑄇𑄪𑄚𑄬 𑄎𑄧𑄚𑄧𑄟𑄚𑄴 𑄖𑄧 𑄝𑄪𑄉𑄧𑄖𑄴,সবাই তোমার বন্ধু
𑄂;𑄝𑄎𑄨 𑄗𑄬𑄝𑄢𑄴 𑄌𑄚𑄴।,কুস্তি লড়ার ইচ্ছা
𑄎𑄧𑄚𑄧𑄟𑄚𑄴 𑄝𑄎𑄨 𑄗𑄬𑄝𑄢𑄴 𑄌𑄚𑄴,সারাজীবন বেঁচে থাকার ইচ্ছা
"𑄂;𑄟𑄧𑄚𑄧𑄢𑄴 𑄥𑄪𑄉𑄬 𑄉𑄨𑄖𑄴 𑄉𑄚𑄴,",.মন সুে গান
𑄛𑄬𑄃𑄨𑄇𑄴𑄇𑄪𑄚𑄬 𑄟𑄧𑄚𑄧𑄢𑄴 𑄥𑄪𑄉𑄬 𑄙𑄪𑄠𑄮,.পোরাটি মন ভালো করে ধুেছে
𑄂;𑄟𑄨𑄣𑄨 𑄃𑄪𑄢𑄳𑄦𑄨 𑄃𑄪𑄢𑄳𑄦𑄨 𑄡𑄚𑄴।,.মেে উে যাওা
𑄎𑄧𑄚𑄧𑄟𑄚𑄴 𑄇𑄪𑄣𑄨 𑄚𑄧 𑄉𑄧𑄢𑄧𑄌𑄴,জীবনটা কুলি করো না
𑄂;𑄖𑄧𑄢𑄴 𑄡𑄨𑄠𑄬𑄚𑄴 𑄃𑄊𑄬 𑄥𑄨𑄠𑄬𑄚𑄴 𑄘𑄧𑄠𑄮𑄌𑄴,তোমার যে জিনিস আছে সেটা দা
𑄃𑄟𑄳𑄦𑄢𑄬 𑄖𑄪𑄃𑄨 𑄝𑄬𑄇𑄴𑄇𑄪𑄚𑄧𑄢𑄬,আমাদের সবাইকে
𑄢𑄬𑄖𑄴𑄖𑄪 𑄃𑄬𑄣𑄬 𑄚𑄚𑄋𑄴 𑄛𑄪𑄉𑄬 𑄎𑄪𑄉𑄬,রাত হলে নানা ধরনের পোকা গিে গিে
"𑄂;𑄘𑄧𑄉𑄧𑄢𑄧𑄚𑄴 𑄟𑄧𑄚𑄧 𑄥𑄪𑄉𑄬,",.অনেক মন ভালো লাগে
𑄝𑄬𑄇𑄴𑄇𑄪𑄚𑄧𑄢𑄬 𑄌𑄌𑄴 𑄖𑄪𑄃𑄨,সবাইকে চাঁচা তুমি
𑄂;𑄥𑄪𑄉𑄬 𑄃𑄢𑄴 𑄘𑄪𑄉𑄬।,".সুঁচালো,সুঁচালো"
𑄉𑄏𑄧 𑄈𑄪𑄣𑄪𑄋𑄧𑄖𑄴 𑄝𑄮𑄃𑄨,গাছের ফাঁকা বই
"𑄂;𑄛𑄬𑄎𑄝𑄮 𑄇𑄪𑄣𑄴 𑄈𑄪𑄣𑄃𑄨,",.পোরাটা কুল খোলেনা
𑄛𑄳𑄦𑄧𑄢𑄴 𑄦𑄧𑄠𑄬 𑄛𑄳𑄦𑄧𑄢𑄴 𑄦𑄧𑄠𑄬,ভোর হে ভোর হেছে
𑄂;𑄊𑄪𑄟𑄧𑄖𑄴𑄖𑄪𑄚𑄴 𑄃𑄪𑄘𑄧 𑄃𑄪𑄘𑄧।,ঘুম থেকে উঠার সম
𑄌𑄨𑄉𑄮𑄚𑄴 𑄛𑄬𑄃𑄨𑄇𑄴𑄪𑄚𑄬 𑄌𑄨𑄢𑄨𑄋𑄴 𑄌𑄢𑄋𑄴 𑄘𑄧𑄉𑄧𑄢𑄧𑄚𑄴,ছোট কুকুরটি চিরিে চারা রোপণ করছে
"𑄦𑄣𑄳𑄠 𑄟𑄚𑄴𑄥𑄳𑄠 𑄦𑄣𑄧𑄖𑄴 𑄡𑄘𑄧𑄚𑄴,",লাঙল দিে হেঁটে যাওা
𑄟𑄨𑄣𑄬 𑄟𑄧𑄢𑄧𑄖𑄴 𑄟𑄧𑄚𑄧𑄢𑄴 𑄥𑄪𑄉𑄬,মেে ছেলে মনের ইচ্ছে পূরণ করে
𑄂;𑄞𑄪𑄠𑄮 𑄟𑄘𑄧𑄖𑄴 𑄇𑄟𑄴 𑄉𑄧𑄖𑄴𑄗𑄧𑄚𑄴।,.ভাই-বোনেরা জমিতে কাজ করতেছে
𑄃𑄟𑄳𑄦 𑄃𑄃𑄮𑄎𑄧𑄢𑄴 𑄘𑄬𑄌𑄴𑄍𑄚𑄴,আমাদের বািটা
"𑄂;𑄉𑄏𑄬 𑄝𑄏𑄬 𑄝𑄬𑄇𑄴𑄈𑄚𑄴,",.সবাই তাাতাি বাি
𑄟𑄧𑄚𑄬 𑄟𑄧𑄚𑄬 𑄢𑄨𑄚𑄨 𑄌𑄋𑄴,মনে মনে চাংমাহ্ চাং
𑄂;𑄃𑄟𑄳𑄦 𑄘𑄬𑄌𑄴𑄍𑄚𑄧𑄢𑄴 𑄙𑄧𑄇𑄳𑄠𑄬 𑄚𑄧 𑄘𑄧 𑄛𑄋𑄴।,আমার চোখের পলক ফেলতে পারিনা
𑄉𑄏𑄬 𑄝𑄏𑄬 𑄞𑄧𑄢,গাছে বাঁশে ভরা
"𑄂;𑄟𑄮𑄚𑄴 𑄟𑄪𑄢𑄳𑄦𑄧 𑄉𑄧𑄢𑄳𑄦,",.আমি তো মলা করি
𑄟𑄧𑄚𑄧𑄢𑄴 𑄥𑄪𑄉𑄬 𑄃𑄬 𑄘𑄬𑄏𑄧𑄖𑄴,মন বসতেছে এই দেশে
𑄂;𑄎𑄧𑄚𑄧𑄟𑄚𑄴 𑄝𑄎𑄨 𑄗𑄬𑄃𑄨 𑄛𑄢।,মানুষ বেঁচে থাকতে পারা
"𑄛𑄧𑄢𑄴𑄝𑄱, 𑄞𑄏𑄬 𑄘𑄪𑄃𑄧 𑄟𑄧𑄚𑄧 𑄘𑄪𑄇𑄴 𑄦𑄞𑄨𑄣𑄳𑄠𑄌𑄴",".পাহাের দুঃখ, মনের দুঃখ হািেছে"
𑄙𑄢𑄴 𑄉𑄧𑄢𑄴 𑄟𑄧𑄚𑄴,"১. আগ্রহ হওা, আগ্রহ করা ২. আগ্রহ করা"
𑄦𑄨𑄣𑄮𑄢𑄴 𑄟𑄘𑄨 𑄝𑄧𑄣,এক জাতী মাটি
𑄝𑄪𑄏𑄮𑄘𑄮𑄇𑄴 𑄥𑄪𑄉𑄪𑄚𑄧𑄢𑄴 𑄘𑄧𑄣𑄴।,বুঝছো তো মুরগীর দল
𑄎𑄘𑄧𑄢𑄴 𑄥𑄧𑄖𑄴𑄪𑄢𑄪𑄃𑄪𑄚𑄧𑄢𑄬 𑄟𑄢𑄧 𑄖𑄬𑄉𑄧,জাগা কচ্ছপগুলো মার খাওার জন্য প্রস্তুত
𑄊𑄪𑄟𑄴 𑄡𑄬𑄝𑄢𑄴 𑄚𑄬𑄭 𑄃𑄧𑄇𑄴𑄖𑄧,ঘুম আসতেছে না
𑄃𑄬𑄉𑄌𑄨𑄖𑄴𑄬 𑄃𑄬𑄉𑄟𑄧𑄚𑄬 𑄣𑄟𑄧 𑄞𑄖𑄴 𑄟𑄮𑄎 𑄛𑄪𑄚𑄧𑄢𑄴 𑄝𑄚𑄨,একটু একটু করে একটু একটু করে লবনাক্ত ভাত বানাতে হ
𑄎𑄖𑄴𑄮 𑄃𑄪𑄖𑄴𑄘𑄮𑄢𑄴 𑄇𑄟𑄧𑄖𑄴।,জাতটা উত্তোলনের কাজে
𑄿 𑄃𑄉𑄧𑄥𑄴𑄑𑄴 𑄸𑄶𑄷𑄾,৯ আগস্ট ২০১৮
𑄘𑄪𑄉𑄧𑄢𑄴 𑄣𑄟,এক জাতী বুনো ফল
𑄃𑄂 𑄟 𑄦𑄨𑄣𑄴𑄌𑄘𑄨𑄉𑄋𑄴!,এক জাতী সবজি
𑄎𑄧𑄚𑄧𑄟𑄴 𑄎𑄧𑄚𑄧𑄟𑄴 𑄖𑄧 𑄝𑄪𑄉𑄧𑄖𑄴,জনে জনে তোমার বুদ্ধ
𑄇𑄨𑄖𑄴𑄖𑄬 𑄃𑄬𑄙𑄧𑄇𑄴 𑄞𑄬𑄃𑄨𑄠𑄬 𑄞𑄬𑄃𑄨𑄠𑄬 𑄢𑄬𑄚 𑄢𑄬𑄚𑄨,কেন এত ভে ভে রাত কাটানো
𑄡𑄢 𑄌𑄧𑄣𑄨𑄝𑄢𑄴 𑄇𑄧𑄙 𑄃𑄬𑄇𑄴 𑄛𑄧𑄘𑄬,যাদের চলে যাবার কথা এক পদে
𑄖𑄢 𑄉𑄧𑄖𑄴𑄖𑄧𑄚𑄴 𑄟𑄢 𑄟𑄢𑄨।,তাদের দলটা মারা মারি
"𑄘𑄬𑄝𑄚𑄬 𑄘𑄬𑄝𑄚𑄬 𑄇𑄮𑄣𑄴 𑄝𑄎𑄬 𑄇𑄝𑄨 𑄛𑄬𑄣𑄴𑄣𑄮𑄚𑄴 𑄝𑄠𑄬𑄌𑄴 𑄟𑄪𑄃𑄪𑄎𑄧,",বজ্রপাতের আওাজ বাজাচ্ছে কাপের তলা
𑄟𑄧𑄉𑄴 𑄇𑄪𑄇𑄨𑄖𑄴𑄖𑄪𑄚𑄴 𑄇𑄝𑄚𑄴 𑄈𑄬𑄃𑄨 𑄣𑄬𑄋𑄴 𑄦𑄧𑄠𑄬 𑄌𑄋𑄴𑄟 𑄎𑄖𑄴𑄖𑄱।,মগের কুকি থেকে কাটা মাংস খেে পাতলা হেছে চামা
"𑄇𑄛𑄴𑄖𑄬 𑄉𑄧𑄙 𑄇𑄢𑄨 𑄚𑄨𑄣𑄧 𑄌𑄋𑄴𑄟𑄃𑄪𑄚𑄧𑄢𑄴 𑄝𑄧𑄣𑄴,",কাপ দিে চামা দিে নিল চাকমারা
"𑄍𑄨𑄘𑄨 𑄛𑄧𑄢𑄴𑄣𑄧𑄋𑄴 𑄝𑄢𑄴𑄟, 𑄖𑄨𑄝𑄨𑄢𑄬, 𑄟𑄨𑄎𑄮𑄢𑄟𑄴 𑄃 𑄃𑄢𑄪𑄚𑄌𑄧𑄣𑄴।","ছিঁচকাঁদুনে বার্মা, ত্রিপুরা, মিজোরামে আসা"
𑄎𑄧𑄘𑄧𑄢𑄴 𑄛𑄖𑄴𑄖𑄧𑄣𑄨 𑄃𑄬𑄟𑄴.𑄃𑄬𑄚𑄴. 𑄣𑄢𑄴𑄟 𑄖𑄨𑄘𑄨 𑄃𑄪𑄘𑄨,"জ্বরটা শুধু আসতেছে,একটু পর জ্বরটা উঠে"
"𑄘𑄬𑄌𑄴𑄇𑄪𑄣𑄧𑄢𑄴 𑄎𑄪𑄟𑄴𑄧𑄃𑄪𑄚𑄧𑄢𑄬 𑄃𑄬𑄇𑄴 𑄉𑄧𑄢𑄨, 𑄟𑄉𑄨𑄣𑄧 𑄃𑄧𑄙𑄨𑄉𑄢𑄴","দেশকুলের জুম্মদেরকে এক করে,মাছি ডাকলে আসে"
𑄝𑄁𑄣𑄘𑄬𑄏𑄧 𑄃𑄃𑄮𑄠𑄟𑄨 𑄣𑄨𑄉𑄬 𑄃𑄨𑄎𑄴𑄧𑄱𑄖𑄴 𑄟𑄢𑄨 𑄦𑄨𑄣𑄴𑄌𑄘𑄨𑄉𑄋𑄧𑄖𑄴,.বাঙালি আওাজগুলো এখানে মার খায়।
